,Time,Depth,Distance,Root Mean Square,Azimuthal Gap,Magnitude,Waveform
333,1293539741460,1.613,0.0196,0.13,82.0,0.74,ml
334,1293539141650,13.987,0.01202,0.12,94.0,0.43,ml
335,1293538798990,12.669,0.03289,0.15,57.0,1.11,ml
336,1293536723639,7.7,0.027,0.0015,148.87,-0.1,ml
337,1293536524760,16.291,0.01892,0.17,47.0,1.89,md
338,1293535397130,1.53,0.007207,0.04,78.0,0.56,md
339,1293534602930,0.073,0.01035,0.19,151.0,0.4,mh
340,1293533889360,3.383,0.004078,0.09,127.0,0.7,mh
341,1293533193550,8.789,0.01351,0.05,62.0,0.45,md
342,1293533126040,-0.9,0.01712,0.06,101.0,0.24,md
343,1293532842360,-0.83,0.01802,0.03,99.0,0.27,md
344,1293532569630,10.693,0.05827,0.18,30.0,1.7,ml
345,1293531238070,0.95,0.00991,0.03,148.0,0.89,md
346,1293531097860,14.531,0.05498,0.14,67.0,0.6,ml
347,1293529826640,0.979,0.003604,0.02,137.0,0.87,md
348,1293528124120,5.35,0.01532,0.04,68.0,0.85,md
349,1293526883110,0.207,0.1667,0.04,114.0,1.5,md
350,1293526290184,6.7,0.217,0.0475,274.86,0.7,ml
351,1293525410360,18.882,0.06841,0.24,42.0,3.6,ml
352,1293525019560,3.176,0.003604,0.05,68.0,1.01,md
353,1293524933630,1.449,0.01081,0.02,84.0,0.48,md
354,1293524759340,3.133,0.006217,0.08,96.0,0.5,mh
355,1293524381390,4.663,0.008953,0.03,214.0,0.4,mh
356,1293524165430,6.186,0.004697,0.19,51.0,1.65,ml
357,1293523551030,1.427,0.01532,0.03,104.0,0.57,md
358,1293523198190,7.81,0.1197,0.17,63.0,1.37,ml
359,1293523047490,15.721,0.03068,0.17,84.0,1.93,ml
360,1293522775200,1.953,0.007249,0.13,125.0,1.02,ml
361,1293522693320,3.253,0.007781,0.17,107.0,1.13,ml
362,1293521619080,11.964,0.08739,0.08,84.0,0.83,md
363,1293521321568,12.5,0.147,0.1459,122.42,1.5,ml
364,1293520954132,8.5,0.011,0.0673,78.62,0.8,mb
365,1293520146800,7.401,0.07244,0.16,67.0,0.91,ml
366,1293519721251,10.1,0.13,0.1213,106.44,2.3,ml
367,1293519175570,0.153,0.00146,0.14,95.0,0.7,mh
368,1293517928230,0.89,0.008108,0.05,80.0,0.91,md
369,1293517628330,3.633,0.101,0.18,61.0,1.7,ml
370,1293517507590,2.811,0.078,0.2,49.0,1.63,ml
371,1293517488710,2.319,0.00991,0.07,50.0,1.68,md
372,1293517311480,2.064,0.03063,0.04,136.0,0.97,md
373,1293516121570,4.546,0.02396,0.16,87.0,1.27,ml
374,1293515498390,4.173,0.001421,0.12,108.0,1.17,ml
375,1293515464210,4.97,0.01171,0.04,78.0,1.16,md
376,1293513898790,-0.297,0.01261,0.04,135.0,0.21,md
377,1293513305120,1.973,0.02113,0.08,73.0,0.74,ml
378,1293512859400,1.084,0.004505,0.02,126.0,0.55,md
379,1293512531900,5.705,0.05225,0.09,57.0,1.24,md
380,1293512428710,7.901,0.03976,0.02,204.0,0.5,ml
381,1293512333180,2.003,0.003962,0.03,101.0,0.3,mh
382,1293512316900,3.853,0.004044,0.13,89.0,1.23,ml
383,1293512162470,3.873,0.0049,0.17,107.0,1.13,ml
384,1293511373410,2.269,0.004505,0.07,65.0,1.18,md
385,1293507807040,3.723,0.007706,0.15,46.0,1.55,ml
386,1293507780790,2.043,0.01074,0.19,121.0,0.4,mh
387,1293507771940,3.593,0.006643,0.07,129.0,0.7,mh
388,1293506988670,2.243,0.006517,0.05,136.0,0.5,mh
389,1293506977670,3.023,0.006453,0.04,170.0,0.5,mh
390,1293506955780,2.653,0.009282,0.09,137.0,1.0,mh
391,1293506868150,1.393,0.008627,0.04,108.0,0.5,mh
392,1293506825390,3.323,0.006031,0.09,135.0,0.8,mh
393,1293506809010,3.573,0.006717,0.06,139.0,0.6,mh
394,1293506767780,2.543,0.008936,0.09,132.0,0.6,mh
395,1293506579760,1.66,0.009009,0.04,119.0,0.37,md
396,1293506485290,4.007,0.01869,0.09,191.0,0.5,mh
397,1293506432467,15.8,0.096,0.0036,228.19,0.0,ml
398,1293506347760,1.133,0.005881,0.13,114.0,0.7,mh
399,1293506340790,2.163,0.01003,0.04,139.0,0.5,mh
400,1293506256590,6.81,0.122,0.12,116.0,0.69,ml
401,1293506211004,11.8,0.17,0.1053,149.06,1.3,ml
402,1293506121220,3.263,0.008197,0.14,107.0,1.13,ml
403,1293505590920,3.623,0.008582,0.14,106.0,1.39,ml
404,1293505579240,3.553,0.003359,0.07,125.0,1.0,mh
405,1293505424690,4.493,0.002649,0.09,129.0,0.6,mh
406,1293505278500,3.893,0.009272,0.21,46.0,1.51,ml
407,1293505197970,4.193,0.003039,0.08,128.0,0.5,mh
408,1293505157750,2.443,0.00649,0.05,119.0,0.7,mh
409,1293505142900,1.243,0.003128,0.06,108.0,0.5,mh
410,1293505108290,4.213,0.005278,0.13,53.0,1.49,ml
411,1293504937020,0.423,0.009751,0.13,103.0,1.74,ml
412,1293504932480,5.003,0.002534,0.14,100.0,1.3,mh
413,1293504746530,4.203,0.0038,0.2,46.0,3.58,ml
414,1293504742260,4.553,0.0037,0.05,129.0,1.8,mh
415,1293504731230,4.193,0.005473,0.16,46.0,1.79,ml
416,1293504508950,3.103,0.00804,0.07,130.0,1.48,ml
417,1293504496210,2.143,0.006718,0.13,79.0,1.13,ml
418,1293504331280,4.703,0.01054,0.1,111.0,1.29,ml
419,1293504290800,3.403,0.008068,0.08,153.0,1.0,mh
420,1293504263580,3.453,0.009816,0.15,116.0,1.29,ml
421,1293504209610,2.443,0.009532,0.12,107.0,1.0,mh
422,1293504195740,3.443,0.005129,0.08,130.0,1.0,mh
423,1293504175570,1.063,0.003667,0.1,103.0,0.5,mh
424,1293504172120,0.964,0.001507,0.03,110.0,0.5,mh
425,1293504166840,3.073,0.005853,0.11,107.0,0.7,mh
426,1293504143160,2.713,0.005929,0.07,122.0,0.5,mh
427,1293504116520,3.163,0.01024,0.14,106.0,1.8,ml
428,1293504069180,1.933,0.004954,0.06,106.0,0.3,mh
429,1293504040400,3.153,0.009602,0.14,112.0,0.6,mh
430,1293504024660,1.54,0.008108,0.08,81.0,1.36,md
431,1293504021110,3.023,0.009325,0.17,107.0,1.0,mh
432,1293503917750,4.223,0.005292,0.19,45.0,3.78,ml
433,1293503169200,2.713,0.008804,0.11,108.0,0.5,mh
434,1293503160700,3.403,0.008682,0.08,166.0,0.7,mh
435,1293503131790,4.123,0.007325,0.15,45.0,2.36,ml
436,1293502915470,3.993,0.008041,0.16,108.0,1.35,ml
437,1293502422020,14.277,0.4135,0.1,229.0,1.66,md
438,1293501642590,4.233,0.007427,0.17,108.0,1.31,ml
